project_id,load_evidence_level,load_basis,observed_load_kwh,modeled_load_kwh,profile_method,source_id,status
EU-GY-SASOL-ITALY,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-SASOL,REVIEWABLE_ASSUMPTION
EU-GY-STELLANTIS-SLOVAKIA,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-STELLANTIS,REVIEWABLE_ASSUMPTION
IN-AZURE-GANDHINAGAR,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,IFC-32148,REVIEWABLE_ASSUMPTION
IN-CLEANMAX-TN-30MW,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,IFC-38331,REVIEWABLE_ASSUMPTION
IN-FPEL-ARISUDHANA,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,FPEL-ARISUDHANA,REVIEWABLE_ASSUMPTION
IN-CLEANTECH-EXIDE-HALDIA,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,CLEANTECH-HALDIA,REVIEWABLE_ASSUMPTION
VN-GY-GOMALL,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-VN-GOMALL,REVIEWABLE_ASSUMPTION
VN-GY-LOTTEMART,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-VN-LOTTEMART,REVIEWABLE_ASSUMPTION
EU-GY-PTP-CADIZ,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-PTP,REVIEWABLE_ASSUMPTION
EU-GY-CMC-ANDRYCHOW,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-CMC,REVIEWABLE_ASSUMPTION
