candidate_project_id,identity_weight,location_weight,developer_weight,offtaker_weight,business_model_weight,installed_capacity_weight,generation_weight,commissioning_status_weight,ppa_existence_weight,ppa_tenor_weight,load_self_consumption_weight,project_cost_weight,financing_amount_weight,financing_structure_weight,official_source_redundancy_weight,total_score,evidence_grade,selection_disposition,scoring_note,candidate_coverage_grade,source_quality_grade,entity_granularity
IN-FPEL-SOLARA-PUDUCHERRY,8,5,5,7,5,10,0,5,8,0,6,0,0,5,1,65,ACCEPTABLE,RESEARCH_POOL,1.1 MW under construction.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-SOLARA-DHULE,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,EXCLUDE_SCORE,4 MWp offsite.,EXCLUDE,STRONG,ASSET_SITE
IN-FPEL-FILATEX-DAHEJ,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,1 MW rooftop.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-FILATEX-DADRA,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,1 MW rooftop.,ACCEPTABLE,STRONG,ASSET_SITE
IN-CLEANTECH-EXIDE-HALDIA,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_V5_1_OUTCOME_BLIND,Lifetime 76.8 GWh not annual.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-SAHARANPUR,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,EXCLUDE_SCORE,Secondary park lead.,EXCLUDE,STRONG,ASSET_SITE
IN-FPEL-SHAHJAHANPUR,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,EXCLUDE_SCORE,Secondary park lead.,EXCLUDE,STRONG,ASSET_SITE
IN-FPEL-BABINA,8,5,5,7,5,10,0,5,8,0,2,0,0,5,1,61,EXCLUDE,EXCLUDE_SCORE,Secondary park lead.,EXCLUDE,STRONG,ASSET_SITE
IN-CLEANTECH-APOLLO,8,3,5,7,5,10,0,7,8,0,6,0,0,5,1,65,ACCEPTABLE,RESEARCH_POOL,Generation claim flagged.,ACCEPTABLE,STRONG,MULTISITE_PORTFOLIO
IN-FPEL-FLIPKART-MH,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,1.88 MWp plus BESS.,ACCEPTABLE,STRONG,ASSET_SITE
IN-FPEL-KOSMO-ONE,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,6.3 MWp PPA lead.,ACCEPTABLE,STRONG,ASSET_SITE
IN-CLEANMAX-TN-30MW,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,SELECTED_V5_1_OUTCOME_BLIND,25-year PPA.,STRONG,STRONG,ASSET_SITE
IN-CLEANMAX-KA-30MW,8,5,5,3,5,10,0,7,2,0,2,0,0,5,1,53,EXCLUDE,EXCLUDE_SCORE,IFC visited plant.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
IN-AZURE-GANDHINAGAR,8,5,5,7,5,10,0,7,8,8,2,7,7,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,USD6.2m cost; USD4.6m IFC loan.,GOLD,STRONG,ASSET_SITE
IN-FPE-UPPAL,8,5,5,3,5,10,0,7,2,0,6,0,0,5,1,57,EXCLUDE,EXCLUDE_SCORE,IFC visited operating asset.,EXCLUDE,STRONG,ASSET_SITE
IN-IFC-FPE-1_5GW,8,3,5,3,5,10,0,3,2,0,6,0,0,5,1,51,EXCLUDE,EXCLUDE_SCORE,Portfolio only.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
IN-IFC-AZURE-RG,8,3,5,3,5,0,0,3,2,0,2,0,0,5,1,37,EXCLUDE,EXCLUDE_SCORE,Program only.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
IN-IFC-CANDI,8,3,5,3,5,10,0,3,8,0,6,0,0,5,1,57,EXCLUDE,EXCLUDE_SCORE,India South Africa aggregate.,EXCLUDE,STRONG,PLATFORM
TH-IFC-CLEANMAX-72MW,8,3,5,3,5,10,0,7,8,0,6,0,0,5,1,61,EXCLUDE,EXCLUDE_SCORE,Long-term PPA; site split absent.,EXCLUDE,STRONG,MULTISITE_PORTFOLIO
TH-CLEANTECH-DENSO,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,Lifetime 18 GWh not annual.,ACCEPTABLE,STRONG,ASSET_SITE
TH-GY-189-PLATFORM,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,EXCLUDE_SCORE,Platform only.,EXCLUDE,STRONG,PLATFORM
SG-CLEANTECH-YAMAZAKI,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,1.6 MWp lead.,ACCEPTABLE,STRONG,ASSET_SITE
EU-GY-GIVA-VISANO,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,SELECTED_V5_1_OUTCOME_BLIND,8 MWp; generation combined.,STRONG,STRONG,ASSET_SITE
EU-GY-GIVA-CELLA,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,SELECTED_V5_1_OUTCOME_BLIND,3 MWp; generation combined.,STRONG,STRONG,ASSET_SITE
EU-GY-ALTAREA-BOLLENE-ROOF,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,9.6 MWp; >12 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-ALTAREA-BOLLENE-CARPORT,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,612 kWp; 870 MWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-ALTAREA-SECOND-ROOF,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,7.2 MWp; 9.2 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-ALTAREA-SECOND-SELF,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,400 kWp; 510 MWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-ALTAREA-SECOND-CARPORT,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,1 MWp; 1.3 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-ALTAREA-PUCEUL,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,3 MWp; 3 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-PANATTONI-MOISSY,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,1.3 MWp; 1.321 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-CMC-ANDRYCHOW,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_V5_1_OUTCOME_BLIND,653 kWp.,ACCEPTABLE,STRONG,ASSET_SITE
EU-GY-STELLANTIS-CHARLEVILLE,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,SELECTED_V5_1_OUTCOME_BLIND,8 MWp; 4.5 GWh/year.,STRONG,STRONG,ASSET_SITE
EU-GY-STELLANTIS-VALENCIENNES,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,SELECTED_V5_1_OUTCOME_BLIND,6 MWp; 4.6 GWh/year.,STRONG,STRONG,ASSET_SITE
EU-GY-STELLANTIS-CAEN,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,SELECTED_V5_1_OUTCOME_BLIND,4 MWp; 2.3 GWh/year.,STRONG,STRONG,ASSET_SITE
EU-GY-STELLANTIS-SLOVAKIA,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,13 MWp; 7 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-SAFRAN-EVRY,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,8.6 MWp; 8.3 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-PTP-CADIZ,8,5,5,7,5,10,10,5,8,0,6,0,0,5,1,75,STRONG,SELECTED_V5_1_OUTCOME_BLIND,1.84 MWp; 2.4 GWh/year.,STRONG,STRONG,ASSET_SITE
EU-GY-SASOL-ITALY,8,5,5,7,5,10,10,7,8,8,2,0,0,5,1,81,STRONG,SELECTED_V5_1_OUTCOME_BLIND,5.1 MWp; 7.61 GWh/year.,STRONG,STRONG,ASSET_SITE
EU-GY-FRUEHAUF-AUXERRE,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_V5_1_OUTCOME_BLIND,11 MWp; 12.7 GWh/year.,GOLD,STRONG,ASSET_SITE
EU-GY-TRIBALLAT-RIANS,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,500 kWp; 600 MWh/year.,GOLD,STRONG,ASSET_SITE
