source_id,source_title,publisher,country,source_type,source_tier,publication_date,effective_date,access_date,url,archival_status,recheck_required,model_role,allowed_use,prohibited_use,review_status,reviewer,notes
IFC-46362,IFC-46362,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/46362/fp-energy-pf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
MOIT-EVN,MOIT-EVN,EVN/MOIT,Vietnam,official_dataset,A1,,,2026-09-01,https://en.evn.com.vn/d/en-US/news/RETAIL-ELECTRICITY-TARIFF-Decision-No-1279QD-BCT-dated-9-May-2025-of-Ministry-of-Industry-and-Trade-60-28-252,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
CERC-REG,CERC-REG,CERC,India,official_dataset,A1,,,2026-09-01,https://cercind.gov.in/current_reg.html,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
EMA-REG-TARIFF,EMA-REG-TARIFF,EMA,Singapore,official_dataset,A1,,,2026-09-01,https://www.ema.gov.sg/consumer-information/electricity/buying-electricity/buying-at-regulated-tariff,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
RBA-CASH,RBA-CASH,RBA,Australia,official_dataset,A1,,,2026-09-01,https://www.rba.gov.au/cash-rate-target-overview.html,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
AER-RETAIL,AER-RETAIL,AER,Australia,official_dataset,A1,,,2026-09-01,https://www.aer.gov.au/publications/reports/performance/annual-retail-markets-report-2024-25,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
EIA-ELECTRIC-PRICE,EIA-ELECTRIC-PRICE,EIA,United States,official_dataset,A1,,,2026-09-01,https://www.eia.gov/electricity/sales_revenue_price/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
EUROSTAT-NONHOUSEHOLD,EUROSTAT-NONHOUSEHOLD,Eurostat,European Union,official_dataset,A1,,,2026-09-01,https://ec.europa.eu/eurostat/en/web/products-datasets/-/NRG_PC_205,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
ECB-RATES,ECB-RATES,ECB,European Union,official_dataset,A1,,,2026-09-01,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/key_ecb_interest_rates/html/index.en.html,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-VN-TAL,GY-VN-TAL,GreenYellow,Vietnam,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-VN-GIAVICO,GY-VN-GIAVICO,GreenYellow,Vietnam,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-VN-DUYNHAT,GY-VN-DUYNHAT,GreenYellow,Vietnam,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-VN-GOMALL,GY-VN-GOMALL,GreenYellow,Vietnam,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-VN-LOTTEMART,GY-VN-LOTTEMART,GreenYellow,Vietnam,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-PLATFORM-189,GY-PLATFORM-189,GreenYellow/STOA/DEG,Vietnam|Thailand,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-stoa-and-deg-announce-the-closing-of-a-189-mwp-ci-solar-asset-operating-company/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-ARISUDHANA,FPEL-ARISUDHANA,FPEL,India,project_case_study,B1,,,2026-09-01,https://fourthpartner.co/wp-content/uploads/2025/12/Fourth-Partner-Energy_Arisudhana_Case-Study-2.pdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-SOLARA,FPEL-SOLARA,FPEL,India,project_case_study,B1,,,2026-09-01,https://fourthpartner.co/wp-content/uploads/2025/01/Fourth-Partner-Energy_JMK-Research_Solara-Active-Pharma-Sciences_Case-Study.pdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-FILATEX,FPEL-FILATEX,FPEL,India,project_case_study,B1,,,2026-09-01,https://www.fourthpartner.co/wp-content/uploads/2025/01/Fourth-Partner-Filatex_Case_Study.pdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-UP,FPEL-UP,FPEL,India,project_case_study,B1,,,2026-09-01,https://fourthpartner.co/fpel-to-commission-3rd-solar-park-in-babina/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-FY25,FPEL-FY25,FPEL,India,project_case_study,B1,,,2026-09-01,https://fourthpartner.co/wp-content/uploads/2025/10/Annual-Report-FY25-1.pdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
FPEL-KOSMO,FPEL-KOSMO,FPEL,India,project_case_study,B1,,,2026-09-01,https://fourthpartner.co/wp-content/uploads/2025/05/Fourth-Partner-Energy_Kosmo-One_Case-Study.pdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
CLEANTECH-HALDIA,CLEANTECH-HALDIA,Cleantech,India,project_case_study,B1,,,2026-09-01,https://cleantechsolar.com/cleantech-solar-commissions-2-6-mw-on-site-rooftop-solar-pv-system-for-exide-industires-limiteds-chloride-metals-limited-in-haldia/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
CLEANTECH-APOLLO,CLEANTECH-APOLLO,Cleantech,India,project_case_study,B1,,,2026-09-01,https://cleantechsolar.com/portfolio/automotive/apollo/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
CLEANTECH-PORTFOLIO,CLEANTECH-PORTFOLIO,Cleantech,India|Singapore,project_case_study,B1,,,2026-09-01,https://cleantechsolar.com/portfolio/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
CLEANTECH-DENSO-TH,CLEANTECH-DENSO-TH,Cleantech,Thailand,project_case_study,B1,,,2026-09-01,https://cleantechsolar.com/cleantech-solar-commissions-1-mw-rooftop-solar-pv-project-for-denso-ten-in-rayong-thailand/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-GIVA,GY-EU-GIVA,GreenYellow,Italy,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-and-giva-enter-a-20-year-agreement/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-ALTAREA,GY-EU-ALTAREA,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/solar-energy-comes-into-stock-at-altarea-greenyellow-deploys-22-mwp-of-photovoltaic-projects-with-energy-storage-on-logistics-sites-in-bollene-and-puceul/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-PANATTONI,GY-EU-PANATTONI,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-france-supports-panattoni-in-its-energy-transition/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-CMC,GY-EU-CMC,GreenYellow,Poland,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-supports-cmcs-energy-transition-with-a-self-consumption-solar-plant-in-andrychow-poland/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-STELLANTIS,GY-EU-STELLANTIS,GreenYellow,France|Spain|Slovakia,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/thanks-to-greenyellow-stellantis-strengthens-its-decarbonization-of-its-french-plants/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-SAFRAN,GY-EU-SAFRAN,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-and-safran-aircraft-engines-inaugurate-a-self-consumption-solar-plant/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-PTP,GY-EU-PTP,GreenYellow,Spain,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-and-ptp-iberica-develop-a-pioneering-energy-project-for-industrial-cooling-and-self-consumption-solar-energy-in-cadiz/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-SASOL,GY-EU-SASOL,GreenYellow,Italy,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/business-case/sasol-italy-solar-power-generation-gy-italy/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-FRUEHAUF,GY-EU-FRUEHAUF,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-and-fruehauf-an-emblematic-solar-carport-project-to-accelerate-auxerres-energy-transition/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-BIOMERIEUX,GY-EU-BIOMERIEUX,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-strengthens-its-partnership-with-biomerieux-by-launching-a-4th-100-self-consumption-solar-project-in-france/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-TRIBALLAT,GY-EU-TRIBALLAT,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/greenyellow-supports-triballat-in-its-energy-transition-with-a-dual-solar-photovoltaic-project/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-LEGRAND,GY-EU-LEGRAND,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/legrand-and-greenyellow-accelerate-the-energy-transition-with-the-installation-of-self-consumption-solar-photovoltaic-plants-on-7-industrial-sites-in-france/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-SCHNEIDER,GY-EU-SCHNEIDER,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/schneider-electric-accelerates-solarization-of-its-industrial-sites-in-france/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GY-EU-FRANCE-FINANCE,GY-EU-FRANCE-FINANCE,GreenYellow,France,project_case_study,B1,,,2026-09-01,https://www.greenyellow.com/en/a-la-une/400m-to-accelerate-ci-solar-in-france-greenyellow-finances-a-large-portfolio-of-photovoltaic-projects-coupled-with-storage/,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
METHOD-V5-BENCHMARK,METHOD-V5-BENCHMARK,VietGreen Risk,Global,methodology,B3,,,2026-09-01,https://github.com/susayold/vietgreen-ci-solar-project-finance/tree/v5-global-real-data,CONTROLLED,false,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
METHOD-V5-LOAD,METHOD-V5-LOAD,VietGreen Risk,Global,methodology,B3,,,2026-09-01,https://github.com/susayold/vietgreen-ci-solar-project-finance/tree/v5-global-real-data,CONTROLLED,false,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
METHOD-V5-FX,METHOD-V5-FX,VietGreen Risk,Global,methodology,B3,,,2026-09-01,https://github.com/susayold/vietgreen-ci-solar-project-finance/tree/v5-global-real-data,CONTROLLED,false,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
METHOD-V5-DEBT,METHOD-V5-DEBT,VietGreen Risk,Global,methodology,B3,,,2026-09-01,https://github.com/susayold/vietgreen-ci-solar-project-finance/tree/v5-global-real-data,CONTROLLED,false,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
METHOD-V5-TAX,METHOD-V5-TAX,VietGreen Risk,Global,methodology,B3,,,2026-09-01,https://github.com/susayold/vietgreen-ci-solar-project-finance/tree/v5-global-real-data,CONTROLLED,false,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
