project_id,case,ppa_price_vnd_kwh,capex_factor,ppa_tenor_years,capex_vnd,debt_vnd,equity_required_vnd,cfads_y1_vnd,min_dscr,project_npv_vnd,project_irr,equity_npv_vnd,equity_irr,binding_cap,ppa_zone_status,transaction_evidence_status
VG-006,CURRENT_TERMS,2092.64,1.0,15,26619875000.0,14118794745.955097,12501080254.044903,2636395236.7015057,1.2999999999999998,-6669567444.549458,0.07129376464312231,-5838367453.391363,0.06322945818318548,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-006,NEGOTIATED_TERMS_HYPOTHETICAL,2384.551133490662,0.8,15,21295900000.0,13842335000.0,7453565000.0,2942803460.820949,1.2999999999999998,1093373795.1313143,0.1293055994575777,1301763064.0835173,0.16242761676666928,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-007,CURRENT_TERMS,2140.2,1.0,15,28838197916.666668,15652695967.768421,13185501948.898247,2921778196.69147,1.3,-6719733535.343,0.07492614579292922,-5798170614.592947,0.06874867373301485,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-007,NEGOTIATED_TERMS_HYPOTHETICAL,2413.551133490662,0.8,15,23070558333.333336,14995862916.666668,8074695416.666668,3228087909.9532886,1.3,1492799983.0907774,0.13169788903088675,1659200388.6994622,0.16618146536172185,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-008,CURRENT_TERMS,2218.5,1.0,15,28838197916.666668,15565246649.281136,13272951267.385532,2905703742.9928403,1.2999999999999998,-6843474854.794978,0.0740409737947848,-5927074747.41642,0.06738848935881536,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-008,NEGOTIATED_TERMS_HYPOTHETICAL,2387.8913222297074,0.8,15,23070558333.333336,14995862916.666668,8074695416.666668,3058954348.309457,1.2999999999999998,190807985.4900514,0.12151182846342545,619105123.0776739,0.15013213938116066,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-009,CURRENT_TERMS,2270.7,1.0,15,28838197916.666668,15941543716.711271,12896654199.955397,2974872604.362704,1.2999999999999998,-6311012207.456169,0.07783302766167066,-5372396357.691167,0.07328806762495466,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-009,NEGOTIATED_TERMS_HYPOTHETICAL,2416.8913222297033,0.8,15,23070558333.333336,14995862916.666668,8074695416.666668,3097381493.5149317,1.3,486620567.34490895,0.1238457158384273,851945953.5576799,0.15381327257158095,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-010,CURRENT_TERMS,2187.76,1.0,15,28838197916.666668,15343649487.350056,13494548429.316612,2864970969.075032,1.2999999999999998,-7157036191.561161,0.07178703272330955,-6253718688.0324,0.06396943543453959,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-010,NEGOTIATED_TERMS_HYPOTHETICAL,2489.391322229704,0.8,15,23070558333.333336,14995862916.666668,8074695416.666668,3193449356.528631,1.2999999999999998,1226152021.9821405,0.12962957665939234,1443886166.6232185,0.16293827430172325,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-011,CURRENT_TERMS,2211.54,1.0,15,26619875000.0,14321606498.729649,12298268501.270351,2673674979.824793,1.3,-6382587576.406291,0.07353202589756014,-5539414030.196723,0.06661093895265047,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-011,NEGOTIATED_TERMS_HYPOTHETICAL,2503.891322229705,0.8,15,21295900000.0,13842335000.0,7453565000.0,2965535011.5058823,1.2999999999999998,1268361519.6088648,0.13077793594168663,1443063022.3210607,0.16474254138126432,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-012,CURRENT_TERMS,2140.2,1.0,15,25510713541.666668,13269939388.735634,12240774152.931034,2478648475.8298097,1.3,-6760380115.133588,0.06826807036993132,-5979197062.926878,0.05875264521522661,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-012,NEGOTIATED_TERMS_HYPOTHETICAL,2460.391322229705,0.8,15,20408570833.333336,13265571041.666668,7142999791.666668,2790981186.939712,1.3,822992581.651038,0.12732455720101965,1065980957.1026962,0.15928927879232913,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-013,CURRENT_TERMS,2128.31,1.0,15,23292390625.0,12046802604.037712,11245588020.962288,2250388528.826146,1.3,-6270480448.909131,0.06738212882511185,-5561313484.7285595,0.057461385930056674,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-013,NEGOTIATED_TERMS_HYPOTHETICAL,2453.1413222297033,0.8,15,18633912500.0,12112043125.0,6521869375.0,2540527843.2868233,1.3,691696622.6128494,0.1267465460732774,925054763.5498844,0.1583684479407218,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-014,CURRENT_TERMS,2104.53,1.0,15,27729036458.333332,14176600691.082062,13552435767.25127,2648735636.860872,1.2999999999999998,-7698094520.658363,0.06560259996547713,-6863579389.406934,0.05489340184565428,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-014,NEGOTIATED_TERMS_HYPOTHETICAL,2438.641322229705,0.8,15,22183229166.666668,14419098958.333334,7764130208.333334,3005963319.633695,1.3,681230772.823166,0.12558838334695832,987092861.9401104,0.15653035945819938,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-015,CURRENT_TERMS,2116.42,1.0,15,26619875000.0,13542106714.20247,13077768285.79753,2530391608.25345,1.2999999999999998,-7485584529.595227,0.0648411434113284,-6688430917.906036,0.053804779303624595,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-015,NEGOTIATED_TERMS_HYPOTHETICAL,2458.0407066889393,0.8,15,21295900000.0,13842335000.0,7453565000.0,2878167102.0111594,1.2999999999999998,595802401.810721,0.1250939800467853,901815019.2599704,0.15576220763163506,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-016,CURRENT_TERMS,2270.7,1.0,8,22183229166.666668,10612774338.377932,11570454828.288736,2288363541.8174644,1.3,-9603940389.75798,-0.01667797855041392,-8593002920.97892,-0.1244904958419441,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-016,NEGOTIATED_TERMS_HYPOTHETICAL,2416.8913222297033,0.8,15,17746583333.333336,11535279166.666668,6211304166.666668,2382601148.8576393,1.2999999999999998,374323513.34223413,0.1238457158384273,655343041.1982114,0.15381327257158095,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-017,CURRENT_TERMS,2244.6,1.0,15,26619875000.0,13489757596.904678,13130117403.095322,2520769080.8658886,1.3,-7559658850.11171,0.06424867408790658,-6765595813.940388,0.05296188805712532,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-017,NEGOTIATED_TERMS_HYPOTHETICAL,2489.9209678531656,0.8,15,21295900000.0,13842335000.0,7453565000.0,2733972951.231907,1.3,-514205739.6294093,0.1155566132787057,28102292.533221304,0.14051051473206078,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-018,CURRENT_TERMS,2104.53,1.0,15,25510713541.666668,12097364296.114637,13413349245.55203,2263112158.7887144,1.2999999999999998,-8419581028.615173,0.05426734929096255,-7707624203.347545,0.03926411272526409,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-018,NEGOTIATED_TERMS_HYPOTHETICAL,2526.170967853167,0.8,15,20408570833.333336,13265571041.666668,7142999791.666668,2659556603.3780675,1.2999999999999998,-188715292.42310715,0.118303647077321,266268024.47716892,0.14499060425773302,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-019,CURRENT_TERMS,2257.65,1.0,15,23292390625.0,11874170039.146706,11418220585.853294,2218656158.3603916,1.3,-6514756581.982689,0.06516178214325052,-5815781460.686574,0.05426244917939538,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-019,NEGOTIATED_TERMS_HYPOTHETICAL,2497.170967853168,0.8,15,18633912500.0,12112043125.0,6521869375.0,2399439228.2183313,1.3,-394405071.1395757,0.11610740398694908,68294461.41692045,0.14141466175576667,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-020,CURRENT_TERMS,2116.42,1.0,15,23292390625.0,11977573592.27332,11314817032.72668,2237663231.8946385,1.3,-6368439923.131083,0.06649364868009855,-5663360085.915196,0.05617501758819399,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-020,NEGOTIATED_TERMS_HYPOTHETICAL,2445.891322229702,0.8,15,18633912500.0,12112043125.0,6521869375.0,2532768515.8895607,1.3,631965235.8921326,0.1261678230459894,876822566.2668679,0.15744413101605137,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
