project_id,scope,annual_load_kwh,solar_kwh_p50,self_consumption_kwh,excess_kwh,self_consumption_ratio,solar_share_of_load,avoided_grid_cost_vnd,weighted_avoided_tariff_vnd_kwh,aggregation_bias,hourly_profile_hash,pvout_double_count_check,legal_peak_hours,legal_normal_hours,legal_low_hours,current_billed_peak_reference_hours,tariff_schedule_hash,tariff_schedule_status,billing_rate_status
VG-011,final_8760,12000000.0,1704000.0000000002,1704000.0000000002,0.0,1.0,0.14200000000000002,4857409531.59503,2850.5924481191487,0.012,061ddb52bd6ee3f379935d9a09eb50b953253d9ea1df7b84bb2f1a7777c4bad7,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-012,final_8760,15000000.0,1633000.0,1633000.0,0.0,1.0,0.10886666666666667,4655017467.77857,2850.5924481191487,0.012,d7f85aa071fbff1a0a2da730d8310d6044609547b58f05834e92a860c8853bf4,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-013,final_8760,13000000.0,1491000.0,1491000.0,0.0,1.0,0.11469230769230769,4250233340.1456513,2850.592448119149,0.012,67ed35ad63e5a6fd277fa51d140bf1f4a4d9ec36a33d187d77a3ec6391a85078,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-014,final_8760,26000000.0,1775000.0000000002,1775000.0000000002,0.0,1.0,0.06826923076923078,5059801595.4114895,2850.5924481191487,0.012,bad14b14e9137fcef373194b0957dc78e82f28cbfc66bc83355a2a4c43de6a0c,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-015,final_8760,14500000.0,1704000.0000000002,1704000.0000000002,0.0,1.0,0.11751724137931036,4857409531.59503,2850.5924481191487,0.012,2f2ee2ef6f1d911cee0ac62602383d148bf1fc94dc1a3d8819707ce05b7c0686,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-016,final_8760,14000000.0,1420000.0,1420000.0,0.0,1.0,0.10142857142857142,4047841276.3291917,2850.592448119149,0.012,8b6d80b3441b164efd5f1d6a86f2f7b034055f5fe29aaf4408ccfad178023f20,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-017,final_8760,23000000.0,1584000.0,1584000.0,0.0,1.0,0.06886956521739131,4515338437.820731,2850.5924481191487,0.012,9ff6b68d6b82f5047acb4f9d0025259c220950f408669958d3278ab02267a102,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-018,final_8760,15500000.0,1518000.0,1518000.0,0.0,1.0,0.09793548387096775,4327199336.244867,2850.5924481191487,0.012,2958f8cdc19dc8a90e20ebab21c5d2d9bfa388241afac20412971ab25deff7b1,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-019,final_8760,20000000.0,1386000.0,1386000.0,0.0,1.0,0.0693,3950921133.0931406,2850.592448119149,0.061,8142e5027de4226413bff5906ec8314a08ab3cb6ba98e83a447f30c7e054d03f,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
VG-020,final_8760,18000000.0,1491000.0,1491000.0,0.0,1.0,0.08283333333333333,4250233340.1456513,2850.592448119149,0.012,e8e8d48e1da77dda531e92c304ce01b59d973f6866fb926afc81c813b38ccb0f,PASS,1565,5005,2190,1565,5ebe78feaf8fe2330ec10d651e064bfa54831d7cc1ede7a74a436cc20bb26358,PASS,SIMULATED_MODEL_INPUT_ONLY
