project_id,fx_depreciation,usd_debt_fraction,hedge_fraction,equity_npv_usd,equity_npv_vnd_equivalent,min_dscr,debt_usd,initial_equity_usd,fully_hedged_equity_npv_usd,hedged_min_dscr
VG-011,0.1,0.0,0.0,57722.52089284246,1443063022.3210616,1.2999999999999998,553693.4,298142.6,57722.52089284246,1.2999999999999998
VG-011,0.1,0.5,0.0,-80229.50135941005,-2005737533.9852512,1.1198502814274642,553693.4,298142.6,67168.6008402009,1.2903225806451613
VG-011,0.1,1.0,0.0,-250264.45099810322,-6256611274.95258,1.3,448525.8718497705,403310.1281502295,76614.68078755938,1.2807881773399015
VG-012,0.0,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.0,0.5,0.0,55014.0794481956,1375351986.20489,1.3,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.0,1.0,0.0,67388.92061228334,1684723015.3070836,1.3,530622.8416666668,285719.9916666667,61224.97320137509,1.2807881773399015
VG-012,0.04,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.04,0.5,0.0,-16923.420137176887,-423085503.42942214,1.2169910465219669,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.04,1.0,0.0,-69770.58873471782,-1744264718.3679454,1.2999999999999998,530622.8416666668,285719.9916666667,61224.97320137509,1.2807881773399015
VG-012,0.1,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.1,0.5,0.0,-86445.33793116648,-2161133448.279162,1.1198502814274642,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.1,1.0,0.0,-250273.7152330946,-6256842880.827365,1.2999999999999998,422059.91092755715,394282.92240577633,61224.97320137509,1.2807881773399015
VG-013,0.0,0.0,0.0,37002.19054199536,925054763.5498841,1.2999999999999998,484481.725,260874.77500000002,37002.19054199536,1.2999999999999998
VG-013,0.0,0.5,0.0,48335.37945180665,1208384486.2951663,1.3,484481.725,260874.77500000002,45523.56124836173,1.2903225806451613
VG-013,0.0,1.0,0.0,59668.568361617996,1491714209.0404499,1.3,484481.72500000003,260874.77499999997,54044.93195472814,1.2807881773399012
VG-013,0.04,0.0,0.0,37002.19054199536,925054763.5498841,1.2999999999999998,484481.725,260874.77500000002,37002.19054199536,1.2999999999999998
VG-013,0.04,0.5,0.0,-17143.255258543424,-428581381.4635856,1.216991046521967,484481.725,260874.77500000002,45523.56124836173,1.2903225806451613
VG-013,0.04,1.0,0.0,-65068.25814951523,-1626706453.737881,1.2999999999999998,484481.72500000003,260874.77499999997,54044.93195472814,1.2807881773399012
VG-013,0.1,0.0,0.0,37002.19054199536,925054763.5498841,1.2999999999999998,484481.725,260874.77500000002,37002.19054199536,1.2999999999999998
VG-013,0.1,0.5,0.0,-80368.56753077553,-2009214188.2693882,1.1198502814274642,484481.725,260874.77500000002,45523.56124836173,1.2903225806451613
VG-013,0.1,1.0,0.0,-230099.01494875434,-5752475373.718859,1.2999999999999998,384175.53431430605,361180.96568569395,54044.93195472814,1.2807881773399012
VG-014,0.0,0.0,0.0,39483.7144776044,987092861.94011,1.2999999999999998,576763.9583333334,310565.2083333334,39483.7144776044,1.2999999999999998
VG-014,0.0,0.5,0.0,53044.04541778135,1326101135.4445338,1.2999999999999998,576763.9583333334,310565.2083333334,49701.780386278966,1.2903225806451613
VG-014,0.0,1.0,0.0,66604.37635795832,1665109408.948958,1.3,576763.9583333334,310565.2083333334,59919.84629495355,1.2807881773399015
VG-014,0.04,0.0,0.0,39483.7144776044,987092861.94011,1.2999999999999998,576763.9583333334,310565.2083333334,39483.7144776044,1.2999999999999998
VG-014,0.04,0.5,0.0,-24407.588906368444,-610189722.6592112,1.2061560423784279,576763.9583333334,310565.2083333334,49701.780386278966,1.2903225806451613
VG-014,0.04,1.0,0.0,-80706.67464243657,-2017666866.0609143,1.3,576763.9583333334,310565.2083333334,59919.84629495355,1.2807881773399015
VG-014,0.1,0.0,0.0,39483.7144776044,987092861.94011,1.2999999999999998,576763.9583333334,310565.2083333334,39483.7144776044,1.2999999999999998
VG-014,0.1,0.5,0.0,-99092.43552761035,-2477310888.1902585,1.0999310748083895,576763.9583333334,310565.2083333334,49701.780386278966,1.2903225806451613
VG-014,0.1,1.0,0.0,-277708.9022605623,-6942722556.514057,1.3,454533.93419926154,432795.2324674052,59919.84629495355,1.2807881773399015
VG-016,0.0,0.0,0.0,26213.721647928433,655343041.1982108,1.2999999999999998,461411.16666666674,248452.16666666674,26213.721647928433,1.2999999999999998
VG-016,0.0,0.5,0.0,37090.83120933785,927270780.2334462,1.3,461411.16666666674,248452.16666666674,34423.184294111525,1.2903225806451613
VG-016,0.0,1.0,0.0,47967.94077074733,1199198519.2686832,1.3,461411.1666666668,248452.1666666667,42632.6469402947,1.2807881773399015
VG-016,0.04,0.0,0.0,26213.721647928433,655343041.1982108,1.2999999999999998,461411.16666666674,248452.16666666674,26213.721647928433,1.2999999999999998
VG-016,0.04,0.5,0.0,-24207.571648230507,-605189291.2057626,1.2061560423784279,461411.16666666674,248452.16666666674,34423.184294111525,1.2903225806451613
VG-016,0.04,1.0,0.0,-68458.69478556629,-1711467369.6391573,1.3,461411.1666666668,248452.1666666667,42632.6469402947,1.2807881773399015
VG-016,0.1,0.0,0.0,26213.721647928433,655343041.1982108,1.2999999999999998,461411.16666666674,248452.16666666674,26213.721647928433,1.2999999999999998
VG-016,0.1,0.5,0.0,-83319.34927775654,-2082983731.9439135,1.0999310748083893,461411.16666666674,248452.16666666674,34423.184294111525,1.2903225806451613
VG-016,0.1,1.0,0.0,-226704.9260229048,-5667623150.57262,1.2999999999999998,360245.67652094254,349617.65681239095,42632.6469402947,1.2807881773399015
