project_id,case,ppa_price_vnd_kwh,capex_factor,ppa_tenor_years,customer_ceiling_vnd_kwh,sponsor_floor_vnd_kwh,lender_floor_vnd_kwh,lower_bound_vnd_kwh,upper_bound_vnd_kwh,zone_status,action,customer_solver_status,sponsor_solver_status,lender_solver_status,customer_solver_iterations,sponsor_solver_iterations,lender_solver_iterations,customer_solver_residual,sponsor_solver_residual,lender_solver_residual,customer_solver_interval,sponsor_solver_interval,lender_solver_interval
VG-006,CURRENT_TERMS,2092.64,1.0,15,2551.9999999999964,2702.14734002718,1409.0199851851073,2702.14734002718,2551.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.299464124953643e-05,3.0934810638427734e-05,3.9968028886505635e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-006,NEGOTIATED_TERMS_HYPOTHETICAL,2384.551133490662,0.8,15,2551.9999999999964,2217.1022669813274,1183.6942221072356,2217.1022669813274,2551.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.299464124953643e-05,-5.7220458984375e-06,3.774758283725532e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-007,CURRENT_TERMS,2140.2,1.0,15,2609.999999999997,2702.1473400271807,1409.019985185098,2702.1473400271807,2609.999999999997,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.9648492479280856e-05,3.74913215637207e-05,-4.6629367034256575e-15,1.1823431123048067e-11,1.1368683772161603e-11,1.1596057447604835e-11
VG-007,NEGOTIATED_TERMS_HYPOTHETICAL,2413.551133490662,0.8,15,2609.999999999997,2217.102266981327,1183.6942221072354,2217.102266981327,2609.999999999997,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.9648492479280856e-05,-1.2874603271484375e-05,3.1086244689504383e-15,1.1823431123048067e-11,1.1823431123048067e-11,1.1596057447604835e-11
VG-008,CURRENT_TERMS,2218.5,1.0,15,2464.9999999999964,2816.3225797466393,1468.5560408971478,2816.3225797466393,2464.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.355897420041682e-05,3.74913215637207e-05,-1.9984014443252818e-15,1.0913936421275139e-11,1.0913936421275139e-11,1.1141310096718371e-11
VG-008,NEGOTIATED_TERMS_HYPOTHETICAL,2387.8913222297074,0.8,15,2464.9999999999964,2310.7826444594184,1233.7094709286616,2310.7826444594184,2464.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.355897420041682e-05,4.1484832763671875e-05,-3.552713678800501e-15,1.0913936421275139e-11,1.0913936421275139e-11,1.0913936421275139e-11
VG-009,CURRENT_TERMS,2270.7,1.0,15,2522.9999999999973,2816.3225797466375,1468.5560408971548,2816.3225797466375,2522.9999999999973,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.042122940453728e-05,2.9206275939941406e-05,4.218847493575595e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-009,NEGOTIATED_TERMS_HYPOTHETICAL,2416.8913222297033,0.8,15,2522.9999999999973,2310.7826444594093,1233.7094709286612,2310.7826444594093,2522.9999999999973,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.042122940453728e-05,-2.574920654296875e-05,-3.774758283725532e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1141310096718371e-11
VG-010,CURRENT_TERMS,2187.76,1.0,15,2667.999999999996,2816.3225797466325,1468.556040897155,2816.3225797466325,2667.999999999996,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.964751714191049e-05,-2.0205974578857422e-05,4.218847493575595e-15,1.1823431123048067e-11,1.1823431123048067e-11,1.1823431123048067e-11
VG-010,NEGOTIATED_TERMS_HYPOTHETICAL,2489.391322229704,0.8,15,2667.999999999996,2310.782644459413,1233.7094709286698,2310.782644459413,2667.999999999996,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.964751714191049e-05,-3.0994415283203125e-06,5.10702591327572e-15,1.1823431123048067e-11,1.2278178473934531e-11,1.2050804798491299e-11
VG-011,CURRENT_TERMS,2211.54,1.0,15,2696.999999999996,2816.32257974663,1468.556040897146,2816.32257974663,2696.999999999996,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.590656875236713e-05,-3.212690353393555e-05,-2.886579864025407e-15,1.1823431123048067e-11,1.1823431123048067e-11,1.2050804798491299e-11
VG-011,NEGOTIATED_TERMS_HYPOTHETICAL,2503.891322229705,0.8,15,2696.999999999996,2310.7826444594143,1233.709470928664,2310.7826444594143,2696.999999999996,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.590656875236713e-05,1.385807991027832e-05,-6.661338147750939e-16,1.1823431123048067e-11,1.1823431123048067e-11,1.2050804798491299e-11
VG-012,CURRENT_TERMS,2140.2,1.0,15,2609.999999999997,2816.322579746633,1468.5560408971464,2816.322579746633,2609.999999999997,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.2139287015938486e-05,-9.298324584960938e-06,-2.886579864025407e-15,1.1823431123048067e-11,1.1368683772161603e-11,1.1596057447604835e-11
VG-012,NEGOTIATED_TERMS_HYPOTHETICAL,2460.391322229705,0.8,15,2609.999999999997,2310.782644459413,1233.7094709286648,2310.782644459413,2609.999999999997,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.2139287015938486e-05,8.046627044677734e-07,0.0,1.1823431123048067e-11,1.1368683772161603e-11,1.1596057447604835e-11
VG-013,CURRENT_TERMS,2128.31,1.0,15,2595.499999999997,2816.3225797466343,1468.5560408971446,2816.3225797466343,2595.499999999997,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,3.869336069279388e-05,2.205371856689453e-06,-3.9968028886505635e-15,1.1823431123048067e-11,1.1823431123048067e-11,1.1596057447604835e-11
VG-013,NEGOTIATED_TERMS_HYPOTHETICAL,2453.1413222297033,0.8,15,2595.499999999997,2310.78264445941,1233.70947092866,2310.78264445941,2595.499999999997,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,3.869336069279388e-05,-1.3262033462524414e-05,-4.884981308350689e-15,1.1823431123048067e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-014,CURRENT_TERMS,2104.53,1.0,15,2566.4999999999964,2816.322579746633,1468.5560408971444,2816.322579746633,2566.4999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.266520761953855e-05,-8.344650268554688e-06,-4.6629367034256575e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-014,NEGOTIATED_TERMS_HYPOTHETICAL,2438.641322229705,0.8,15,2566.4999999999964,2310.782644459414,1233.7094709286623,2310.782644459414,2566.4999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.266520761953855e-05,7.748603820800781e-06,-2.6645352591003757e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-015,CURRENT_TERMS,2116.42,1.0,15,2580.9999999999964,2845.9372956651623,1483.9984729091543,2845.9372956651623,2580.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.8331672114345206e-05,-1.3470649719238281e-05,4.440892098500626e-16,1.1368683772161603e-11,1.1368683772161603e-11,1.1596057447604835e-11
VG-015,NEGOTIATED_TERMS_HYPOTHETICAL,2458.0407066889393,0.8,15,2580.9999999999964,2335.0814133778817,1246.6824008658402,2335.0814133778817,2580.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.8331672114345206e-05,-1.1473894119262695e-05,-5.10702591327572e-15,1.1368683772161603e-11,1.1823431123048067e-11,1.1368683772161603e-11
VG-016,CURRENT_TERMS,2270.7,1.0,8,2522.9999999999973,3859.568736524641,2955.7766712900557,3859.568736524641,2522.9999999999973,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,2.1302501506359532e-05,-3.522634506225586e-05,0.09999999999999987,1.1368683772161603e-11,2.2737367544323206e-11,1.1368683772161603e-11
VG-016,NEGOTIATED_TERMS_HYPOTHETICAL,2416.8913222297033,0.8,15,2522.9999999999973,2310.7826444594093,1233.7094709286612,2310.7826444594093,2522.9999999999973,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,3.10932533881056e-05,-2.2292137145996094e-05,-3.552713678800501e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1141310096718371e-11
VG-017,CURRENT_TERMS,2244.6,1.0,15,2493.9999999999964,3029.680350939563,1579.8102864196603,3029.680350939563,2493.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.6176708500731594e-05,1.2755393981933594e-05,-2.220446049250313e-16,1.0913936421275139e-11,1.0913936421275139e-11,1.1141310096718371e-11
VG-017,NEGOTIATED_TERMS_HYPOTHETICAL,2489.9209678531656,0.8,15,2493.9999999999964,2485.841935706335,1327.1723096353808,2485.841935706335,2493.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.6176708500731594e-05,-2.136826515197754e-05,-8.881784197001252e-16,1.0913936421275139e-11,1.1368683772161603e-11,1.0913936421275139e-11
VG-018,CURRENT_TERMS,2104.53,1.0,15,2566.4999999999964,3029.680350939567,1579.8102864196605,3029.680350939567,2566.4999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.503987896701945e-05,3.653764724731445e-05,-4.440892098500626e-16,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-018,NEGOTIATED_TERMS_HYPOTHETICAL,2526.170967853167,0.8,15,2566.4999999999964,2485.8419357063376,1327.172309635377,2485.8419357063376,2566.4999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.503987896701945e-05,-4.1425228118896484e-06,-4.6629367034256575e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-019,CURRENT_TERMS,2257.65,1.0,15,2508.4999999999964,3029.680350939557,1579.8102864196662,3029.680350939557,2508.4999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.0656003822784766e-05,-2.9742717742919922e-05,3.9968028886505635e-15,1.0913936421275139e-11,1.1368683772161603e-11,1.1141310096718371e-11
VG-019,NEGOTIATED_TERMS_HYPOTHETICAL,2497.170967853168,0.8,15,2508.4999999999964,2485.8419357063394,1327.1723096353799,2485.8419357063394,2508.4999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.0656003822784766e-05,6.3478946685791016e-06,-2.220446049250313e-15,1.0913936421275139e-11,1.0913936421275139e-11,1.1141310096718371e-11
VG-020,CURRENT_TERMS,2116.42,1.0,15,2580.9999999999964,2816.322579746632,1468.5560408971544,2816.322579746632,2580.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.273491096815095e-05,-1.7464160919189453e-05,3.9968028886505635e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-020,NEGOTIATED_TERMS_HYPOTHETICAL,2445.891322229702,0.8,15,2580.9999999999964,2310.7826444594075,1233.7094709286673,2310.7826444594075,2580.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.273491096815095e-05,-3.3974647521972656e-05,2.4424906541753444e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
