observation_id,candidate_project_id,canonical_project_id,field_name,raw_value,raw_unit,normalized_value,normalized_unit,currency,value_date,publisher,document_title,source_url,publication_date,access_date,source_tier,evidence_class,confidence,location_context,quotation_context,source_status,conflict_flag,superseded_flag,notes
OBS-VN-GY-TAL-VGM-offtaker,VN-GY-TAL-VGM,VN-GY-TAL-VGM,offtaker,Vietnam Garments Manufacturing Limited,,Vietnam Garments Manufacturing Limited,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-TAL-VGM-country,VN-GY-TAL-VGM,VN-GY-TAL-VGM,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-TAL-VGM-project_status,VN-GY-TAL-VGM,VN-GY-TAL-VGM,project_status,CONSTRUCTION,,CONSTRUCTION,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-TAL-VGM-business_model,VN-GY-TAL-VGM,VN-GY-TAL-VGM,business_model,ONSITE_PPA,,ONSITE_PPA,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-TAL-VGM-self_consumption_signal,VN-GY-TAL-VGM,VN-GY-TAL-VGM,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-GIAVICO-installed_capacity_kwp,VN-GY-GIAVICO,VN-GY-GIAVICO,installed_capacity_kwp,2600,kWp,2600,kWp,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-developer,VN-GY-GIAVICO,VN-GY-GIAVICO,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-offtaker,VN-GY-GIAVICO,VN-GY-GIAVICO,offtaker,Giavico,,Giavico,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-country,VN-GY-GIAVICO,VN-GY-GIAVICO,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-project_status,VN-GY-GIAVICO,VN-GY-GIAVICO,project_status,OPERATING,,OPERATING,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-business_model,VN-GY-GIAVICO,VN-GY-GIAVICO,business_model,ONSITE_SELF_CONSUMPTION,,ONSITE_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-GIAVICO-self_consumption_signal,VN-GY-GIAVICO,VN-GY-GIAVICO,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-GIAVICO,https://www.greenyellow.com/a-la-une/giavico-choisit-greenyellow-pour-laccompagner-dans-sa-transition-energetique/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Long An,2.6 MWp several factories.,PUBLIC_PRIMARY,FALSE,FALSE,2.6 MWp several factories.
OBS-VN-GY-DUYNHAT-installed_capacity_kwp,VN-GY-DUYNHAT,VN-GY-DUYNHAT,installed_capacity_kwp,500,kWp,500,kWp,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-developer,VN-GY-DUYNHAT,VN-GY-DUYNHAT,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-offtaker,VN-GY-DUYNHAT,VN-GY-DUYNHAT,offtaker,Duy Nhat Trading Manufacturing,,Duy Nhat Trading Manufacturing,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-country,VN-GY-DUYNHAT,VN-GY-DUYNHAT,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-project_status,VN-GY-DUYNHAT,VN-GY-DUYNHAT,project_status,OPERATING,,OPERATING,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-business_model,VN-GY-DUYNHAT,VN-GY-DUYNHAT,business_model,ONSITE_SELF_CONSUMPTION,,ONSITE_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-DUYNHAT-self_consumption_signal,VN-GY-DUYNHAT,VN-GY-DUYNHAT,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-DUYNHAT,https://www.greenyellow.com/a-la-une/une-centrale-solaire-en-toiture-pour-lusine-de-duy-nhat-trading-manufacturing-co/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam,500 kWp extension.,PUBLIC_PRIMARY,FALSE,FALSE,500 kWp extension.
OBS-VN-GY-GOMALL-installed_capacity_kwp,VN-GY-GOMALL,VN-GY-GOMALL,installed_capacity_kwp,9000,kWp,9000,kWp,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-annual_generation_kwh,VN-GY-GOMALL,VN-GY-GOMALL,annual_generation_kwh,13000000,kWh,13000000,kWh,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-developer,VN-GY-GOMALL,VN-GY-GOMALL,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-offtaker,VN-GY-GOMALL,VN-GY-GOMALL,offtaker,GO Mall,,GO Mall,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-country,VN-GY-GOMALL,VN-GY-GOMALL,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-project_status,VN-GY-GOMALL,VN-GY-GOMALL,project_status,OPERATING,,OPERATING,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-business_model,VN-GY-GOMALL,VN-GY-GOMALL,business_model,PORTFOLIO_DISTRIBUTED,,PORTFOLIO_DISTRIBUTED,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-ppa_exists,VN-GY-GOMALL,VN-GY-GOMALL,ppa_exists,YES,,YES,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-ppa_tenor_years,VN-GY-GOMALL,VN-GY-GOMALL,ppa_tenor_years,20,years,20,years,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-GOMALL-self_consumption_signal,VN-GY-GOMALL,VN-GY-GOMALL,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-GOMALL,https://www.greenyellow.com/en/business-case/go-mall-solar-production-gy-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,10 Vietnam malls,100% self-consumption; PPA Dec 2020.,PUBLIC_PRIMARY,FALSE,FALSE,100% self-consumption; PPA Dec 2020.
OBS-VN-GY-LOTTEMART-installed_capacity_kwp,VN-GY-LOTTEMART,VN-GY-LOTTEMART,installed_capacity_kwp,2660,kWp,2660,kWp,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-developer,VN-GY-LOTTEMART,VN-GY-LOTTEMART,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-offtaker,VN-GY-LOTTEMART,VN-GY-LOTTEMART,offtaker,LOTTE Mart,,LOTTE Mart,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-country,VN-GY-LOTTEMART,VN-GY-LOTTEMART,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-project_status,VN-GY-LOTTEMART,VN-GY-LOTTEMART,project_status,OPERATING,,OPERATING,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-business_model,VN-GY-LOTTEMART,VN-GY-LOTTEMART,business_model,PORTFOLIO_DISTRIBUTED,,PORTFOLIO_DISTRIBUTED,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-ppa_exists,VN-GY-LOTTEMART,VN-GY-LOTTEMART,ppa_exists,YES,,YES,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-ppa_tenor_years,VN-GY-LOTTEMART,VN-GY-LOTTEMART,ppa_tenor_years,22,years,22,years,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-GY-LOTTEMART-self_consumption_signal,VN-GY-LOTTEMART,VN-GY-LOTTEMART,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-LOTTEMART,https://www.greenyellow.com/en/a-la-une/greenyellow-and-lotte-mart-partner-to-promote-sustainable-energy-solutions/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Multiple stores,"3,600 GWh claim flagged; not used.",PUBLIC_PRIMARY,FALSE,FALSE,"3,600 GWh claim flagged; not used."
OBS-VN-IFC-KES-MDF-installed_capacity_kwp,VN-IFC-KES-MDF,VN-IFC-KES-MDF,installed_capacity_kwp,6500,kWp,6500,kWp,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-developer,VN-IFC-KES-MDF,VN-IFC-KES-MDF,developer,KES Group,,KES Group,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-offtaker,VN-IFC-KES-MDF,VN-IFC-KES-MDF,offtaker,KES factories,,KES factories,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-country,VN-IFC-KES-MDF,VN-IFC-KES-MDF,country,Vietnam,,Vietnam,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-project_status,VN-IFC-KES-MDF,VN-IFC-KES-MDF,project_status,OPERATING,,OPERATING,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-business_model,VN-IFC-KES-MDF,VN-IFC-KES-MDF,business_model,PORTFOLIO_DISTRIBUTED,,PORTFOLIO_DISTRIBUTED,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
OBS-VN-IFC-KES-MDF-self_consumption_signal,VN-IFC-KES-MDF,VN-IFC-KES-MDF,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,IFC,IFC-46500,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,,2026-09-01,A2,OBSERVED_PROJECT_FACT,HIGH,MDF1 MDF2,6-7 MW aggregate.,PUBLIC_PRIMARY,FALSE,FALSE,6-7 MW aggregate.
