project_id,capex_category,amount_local,currency,unit_basis,payment_month,vat_rate,source_or_assumption_id
VG-006,mounting_electrical,78886193778,VND,per_project,1,0.1,ASM-CAPEX
VG-006,civil_roof_interconnection,118329290667,VND,per_project,1,0.1,ASM-CAPEX
VG-006,engineering_permitting,236658581333,VND,per_project,1,0.1,ASM-CAPEX
VG-006,fees_contingency,118329290667,VND,per_project,1,0.1,ASM-CAPEX
VG-007,modules,35644228148,VND,per_project,1,0.1,ASM-CAPEX
VG-007,inverters,149705758222,VND,per_project,1,0.1,ASM-CAPEX
VG-007,mounting_electrical,83169865679,VND,per_project,1,0.1,ASM-CAPEX
VG-007,civil_roof_interconnection,124754798519,VND,per_project,1,0.1,ASM-CAPEX
VG-007,engineering_permitting,249509597037,VND,per_project,1,0.1,ASM-CAPEX
VG-007,fees_contingency,124754798519,VND,per_project,1,0.1,ASM-CAPEX
VG-008,modules,42563584762,VND,per_project,1,0.1,ASM-CAPEX
VG-008,inverters,178767056000,VND,per_project,1,0.1,ASM-CAPEX
VG-008,mounting_electrical,99315031111,VND,per_project,1,0.1,ASM-CAPEX
VG-008,civil_roof_interconnection,148972546667,VND,per_project,1,0.1,ASM-CAPEX
VG-008,engineering_permitting,297945093333,VND,per_project,1,0.1,ASM-CAPEX
VG-008,fees_contingency,148972546667,VND,per_project,1,0.1,ASM-CAPEX
VG-009,modules,37908148571,VND,per_project,1,0.1,ASM-CAPEX
VG-009,inverters,159214224000,VND,per_project,1,0.1,ASM-CAPEX
VG-009,mounting_electrical,88452346667,VND,per_project,1,0.1,ASM-CAPEX
VG-009,civil_roof_interconnection,132678520000,VND,per_project,1,0.1,ASM-CAPEX
VG-009,engineering_permitting,265357040000,VND,per_project,1,0.1,ASM-CAPEX
VG-009,fees_contingency,132678520000,VND,per_project,1,0.1,ASM-CAPEX
VG-010,modules,35518701799,VND,per_project,1,0.1,ASM-CAPEX
VG-010,inverters,149178547556,VND,per_project,1,0.1,ASM-CAPEX
VG-010,mounting_electrical,82876970864,VND,per_project,1,0.1,ASM-CAPEX
VG-010,civil_roof_interconnection,124315456296,VND,per_project,1,0.1,ASM-CAPEX
VG-010,engineering_permitting,248630912593,VND,per_project,1,0.1,ASM-CAPEX
VG-010,fees_contingency,124315456296,VND,per_project,1,0.1,ASM-CAPEX
VG-011,modules,32337575619,VND,per_project,1,0.1,ASM-CAPEX
VG-011,inverters,135817817600,VND,per_project,1,0.1,ASM-CAPEX
VG-011,mounting_electrical,75454343111,VND,per_project,1,0.1,ASM-CAPEX
VG-011,civil_roof_interconnection,113181514667,VND,per_project,1,0.1,ASM-CAPEX
VG-011,engineering_permitting,226363029333,VND,per_project,1,0.1,ASM-CAPEX
VG-011,fees_contingency,113181514667,VND,per_project,1,0.1,ASM-CAPEX
VG-012,modules,32273351746,VND,per_project,1,0.1,ASM-CAPEX
VG-012,inverters,135548077333,VND,per_project,1,0.1,ASM-CAPEX
VG-012,mounting_electrical,75304487407,VND,per_project,1,0.1,ASM-CAPEX
VG-012,civil_roof_interconnection,112956731111,VND,per_project,1,0.1,ASM-CAPEX
VG-012,engineering_permitting,225913462222,VND,per_project,1,0.1,ASM-CAPEX
VG-012,fees_contingency,112956731111,VND,per_project,1,0.1,ASM-CAPEX
VG-013,modules,29660251111,VND,per_project,1,0.1,ASM-CAPEX
VG-013,inverters,124573054667,VND,per_project,1,0.1,ASM-CAPEX
VG-013,mounting_electrical,69207252593,VND,per_project,1,0.1,ASM-CAPEX
VG-013,civil_roof_interconnection,103810878889,VND,per_project,1,0.1,ASM-CAPEX
VG-013,engineering_permitting,207621757778,VND,per_project,1,0.1,ASM-CAPEX
VG-013,fees_contingency,103810878889,VND,per_project,1,0.1,ASM-CAPEX
VG-014,modules,35767979365,VND,per_project,1,0.1,ASM-CAPEX
VG-014,inverters,150225513333,VND,per_project,1,0.1,ASM-CAPEX
VG-014,mounting_electrical,83458618519,VND,per_project,1,0.1,ASM-CAPEX
VG-014,civil_roof_interconnection,125187927778,VND,per_project,1,0.1,ASM-CAPEX
VG-014,engineering_permitting,250375855556,VND,per_project,1,0.1,ASM-CAPEX
VG-014,fees_contingency,125187927778,VND,per_project,1,0.1,ASM-CAPEX
VG-015,modules,34117669587,VND,per_project,1,0.1,ASM-CAPEX
VG-015,inverters,143294212267,VND,per_project,1,0.1,ASM-CAPEX
VG-015,mounting_electrical,79607895704,VND,per_project,1,0.1,ASM-CAPEX
VG-015,civil_roof_interconnection,119411843556,VND,per_project,1,0.1,ASM-CAPEX
VG-015,engineering_permitting,238823687111,VND,per_project,1,0.1,ASM-CAPEX
VG-015,fees_contingency,119411843556,VND,per_project,1,0.1,ASM-CAPEX
VG-016,modules,29160114286,VND,per_project,1,0.1,ASM-CAPEX
VG-016,inverters,122472480000,VND,per_project,1,0.1,ASM-CAPEX
VG-016,mounting_electrical,68040266667,VND,per_project,1,0.1,ASM-CAPEX
VG-016,civil_roof_interconnection,102060400000,VND,per_project,1,0.1,ASM-CAPEX
VG-016,engineering_permitting,204120800000,VND,per_project,1,0.1,ASM-CAPEX
VG-016,fees_contingency,102060400000,VND,per_project,1,0.1,ASM-CAPEX
VG-017,modules,38380065524,VND,per_project,1,0.1,ASM-CAPEX
VG-017,inverters,161196275200,VND,per_project,1,0.1,ASM-CAPEX
VG-017,mounting_electrical,89553486222,VND,per_project,1,0.1,ASM-CAPEX
VG-017,civil_roof_interconnection,134330229333,VND,per_project,1,0.1,ASM-CAPEX
VG-017,engineering_permitting,268660458667,VND,per_project,1,0.1,ASM-CAPEX
VG-017,fees_contingency,134330229333,VND,per_project,1,0.1,ASM-CAPEX
VG-018,modules,35834595810,VND,per_project,1,0.1,ASM-CAPEX
VG-018,inverters,150505302400,VND,per_project,1,0.1,ASM-CAPEX
VG-018,mounting_electrical,83614056889,VND,per_project,1,0.1,ASM-CAPEX
VG-018,civil_roof_interconnection,125421085333,VND,per_project,1,0.1,ASM-CAPEX
VG-018,engineering_permitting,250842170667,VND,per_project,1,0.1,ASM-CAPEX
VG-018,fees_contingency,125421085333,VND,per_project,1,0.1,ASM-CAPEX
VG-019,modules,36127077333,VND,per_project,1,0.1,ASM-CAPEX
VG-019,inverters,151733724800,VND,per_project,1,0.1,ASM-CAPEX
VG-019,mounting_electrical,84296513778,VND,per_project,1,0.1,ASM-CAPEX
VG-019,civil_roof_interconnection,126444770667,VND,per_project,1,0.1,ASM-CAPEX
VG-019,engineering_permitting,252889541333,VND,per_project,1,0.1,ASM-CAPEX
VG-019,fees_contingency,126444770667,VND,per_project,1,0.1,ASM-CAPEX
VG-020,modules,29852960889,VND,per_project,1,0.1,ASM-CAPEX
VG-020,inverters,125382435733,VND,per_project,1,0.1,ASM-CAPEX
VG-020,mounting_electrical,69656908741,VND,per_project,1,0.1,ASM-CAPEX
VG-020,civil_roof_interconnection,104485363111,VND,per_project,1,0.1,ASM-CAPEX
VG-020,engineering_permitting,208970726222,VND,per_project,1,0.1,ASM-CAPEX
VG-020,fees_contingency,104485363111,VND,per_project,1,0.1,ASM-CAPEX
