project_id,component,component_uncertainty_pct,correlation_bucket,source_or_assumption_id
VG-008,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-008,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-009,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-009,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-009,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-009,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-010,resource,0.05780060,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-010,availability,0.03082699,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-010,degradation,0.01926687,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-010,clipping,0.01541349,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-011,resource,0.06192921,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-011,availability,0.03302891,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-011,degradation,0.02064307,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-011,clipping,0.01651446,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-012,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-012,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-012,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-012,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-013,resource,0.07018644,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-013,availability,0.03743277,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-013,degradation,0.02339548,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-013,clipping,0.01871638,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-014,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-014,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-014,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-014,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-015,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-015,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-015,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-015,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-016,resource,0.07431505,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-016,availability,0.03963470,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-016,degradation,0.02477168,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-016,clipping,0.01981735,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-017,resource,0.07431505,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-017,availability,0.03963470,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-017,degradation,0.02477168,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-017,clipping,0.01981735,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-018,resource,0.06605783,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-018,availability,0.03523084,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-018,degradation,0.02201928,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-018,clipping,0.01761542,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-019,resource,0.08257228,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-019,availability,0.04403855,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-019,degradation,0.02752409,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-019,clipping,0.02201928,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-020,resource,0.07431505,RESOURCE,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-020,availability,0.03963470,AVAILABILITY,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-020,degradation,0.02477168,DEGRADATION,ASM-ENERGY-UNCERTAINTY-BUDGET
VG-020,clipping,0.01981735,CLIPPING,ASM-ENERGY-UNCERTAINTY-BUDGET
