project_id,construction_month,construction_share,currency,source_or_assumption_id
VG-013,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-013,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-014,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-015,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-016,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-017,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-018,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-019,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,1,0.05,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,2,0.08,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,3,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,4,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,5,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,6,0.14,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,7,0.12,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,8,0.1,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,9,0.06,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,10,0.04,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,11,0.03,VND,ASM-CONSTRUCTION-SCHEDULE
VG-020,12,0.02,VND,ASM-CONSTRUCTION-SCHEDULE
